027 056 0           0.1089030000D+07  0.2012990945D+02
027 056 0           0.1140404000D+07  0.5515594743D+02
027 056 0           0.1159919000D+07  0.3824682678D+02
027 056 0           0.1175101000D+07  0.9211445776D+03
027 056 0           0.1198780000D+07  0.2053250600D+02
027 056 0           0.1238281000D+07  0.2693381875D+05
027 056 0           0.1272200000D+07  0.9662355832D+01
027 056 0           0.1335389000D+07  0.4750658489D+02
027 056 0           0.1360215000D+07  0.1727146139D+04
027 056 0           0.1442750000D+07  0.7448066144D+02
027 056 0           0.1462340000D+07  0.2616888111D+02
027 056 0           0.1640404000D+07  0.2898706398D+02
027 056 0           0.1771351000D+07  0.6228193531D+04
027 056 0           0.1810771000D+07  0.2568576385D+03
027 056 0           0.1963714000D+07  0.2914810822D+03
027 056 0           0.2015181000D+07  0.1223898457D+04
027 056 0           0.2034755000D+07  0.3176499638D+04
027 056 0           0.2113123000D+07  0.1513769115D+03
027 056 0           0.2212933000D+07  0.1590262694D+03
027 056 0           0.2276360000D+07  0.5153256444D+02
027 056 0           0.2373700000D+07  0.3301305056D+02
027 056 0           0.2523860000D+07  0.2737667544D+02
027 056 0           0.2598459000D+07  0.6964948055D+04
027 056 0           0.2657400000D+07  0.8454561499D+01
027 056 0           0.3009595000D+07  0.4670138711D+03
027 056 0           0.3201962000D+07  0.1336625903D+04
027 056 0           0.3253415000D+07  0.3269097285D+04
027 056 0           0.3272990000D+07  0.7770140477D+03
027 056 0           0.3369690000D+07  0.4428575802D+01
027 056 0           0.3451152000D+07  0.3913253637D+03
027 056 0           0.3547930000D+07  0.8051963779D+02
027 056 0           0.3600700000D+07  0.6642870001D+01
027 056 0           0.3611799000D+07  0.3422084430D+01
027 057 0           0.1441290039D+05  0.6509019225D+02
027 057 0           0.1220606016D+06  0.6082664241D+03
027 057 0           0.1364735000D+06  0.7589111346D+02
027 057 0           0.3396899063D+06  0.2629189078D-01
027 057 0           0.3523300000D+06  0.2131774781D-01
027 057 0           0.3667999063D+06  0.8527099643D-02
027 057 0           0.5700900000D+06  0.1122734713D+00
027 057 0           0.6924098750D+06  0.1058781539D+01
027 057 0           0.7065398750D+06  0.3552957969D-01
027 058 0           0.8107591875D+06  0.3386791916D+03
027 058 0           0.8639510000D+06  0.2349810079D+01
027 058 0           0.1674725000D+07  0.1770871628D+01
 
Activity Summary   
--------------------------------
Total Activity/Bq:  0.4141555464D+05
Total power/eVs-1:  0.1391568752D+12
 
Calculated Values  
--------------------------------
Number Density:     0.8626810591D+29
Beam Depth/A:       0.0000000000D+00
Affected Depth/A:   0.2194420250D+07
Affected Volume/m3: 0.2194420112D-07
Affected Atoms      0.1893084726D+22
VPI:                0.6020000076D+02
DPA:                0.5954390508D-04
 
Calculation Time/s:  0.5778799820D+02
